date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:07:19	0/0	---M--	200	added ('OK')	text/plain	etag:%220-521284bff8a40%22	http://biorob2.epfl.ch/robots.txt		(from )
21:07:19	60330/60330	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Aug%202021%2019:07:19%20GMT	http://biorob2.epfl.ch/pages/projects/	C:/Users/j-wu1/Downloads/test4web/biorob2.epfl.ch/pages/projects/index.html	(from )
21:07:20	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2017%20Aug%202021%2019:07:20%20GMT	http://www.epfl.ch/css/epfl.css	C:/Users/j-wu1/Downloads/test4web/www.epfl.ch/css/epfl.0.delayed	(from http://biorob2.epfl.ch/pages/projects/)
21:07:20	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2017%20Aug%202021%2019:07:20%20GMT	http://www.epfl.ch/css/sti.css	C:/Users/j-wu1/Downloads/test4web/www.epfl.ch/css/sti.css	(from http://biorob2.epfl.ch/pages/projects/)
21:07:20	47084/47084	---M-Z	200	added ('OK')	text/css	etag:%227b96-b7ec-gzip%22	https://www.epfl.ch/css/epfl.css	C:/Users/j-wu1/Downloads/test4web/www.epfl.ch/css/epfl.css	(from http://biorob2.epfl.ch/pages/projects/)
21:07:20	2896/2896	---M-Z	200	added ('OK')	text/css	etag:%227bb0-b50-gzip%22	https://www.epfl.ch/css/sti.css	C:/Users/j-wu1/Downloads/test4web/www.epfl.ch/css/sti.css	(from http://biorob2.epfl.ch/pages/projects/)
21:07:20	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2017%20Aug%202021%2019:07:21%20GMT	http://www.epfl.ch/css/print.css	C:/Users/j-wu1/Downloads/test4web/www.epfl.ch/css/print.css	(from http://biorob2.epfl.ch/pages/projects/)
21:07:21	2245/2245	---M-Z	200	added ('OK')	text/css	etag:%227bae-8c5-gzip%22	https://www.epfl.ch/css/print.css	C:/Users/j-wu1/Downloads/test4web/www.epfl.ch/css/print.css	(from http://biorob2.epfl.ch/pages/projects/)
21:07:21	1828/1828	---M-Z	200	added ('OK')	text/css	etag:%22724-57e3d53590100-gzip%22	http://biorob2.epfl.ch/css/jahia2010.css	C:/Users/j-wu1/Downloads/test4web/biorob2.epfl.ch/css/jahia2010.css	(from http://biorob2.epfl.ch/pages/projects/)
21:07:21	23763/23763	---M-Z	200	added ('OK')	text/css	etag:%225cd3-586ced2a580c0-gzip%22	http://biorob2.epfl.ch/css/wp2018.css	C:/Users/j-wu1/Downloads/test4web/biorob2.epfl.ch/css/wp2018.css	(from http://biorob2.epfl.ch/pages/projects/)
21:07:42	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2017%20Aug%202021%2019:07:43%20GMT	http://www.epfl.ch/js/jquery-epfl.min.js	C:/Users/j-wu1/Downloads/test4web/www.epfl.ch/js/jquery-epfl.min.9.delayed	(from http://biorob2.epfl.ch/pages/projects/)
21:07:43	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2017%20Aug%202021%2019:07:43%20GMT	http://www.epfl.ch/js/globalnav.js	C:/Users/j-wu1/Downloads/test4web/www.epfl.ch/js/globalnav.js	(from http://biorob2.epfl.ch/pages/projects/)
21:07:43	133204/133204	---M-Z	200	added ('OK')	application/javascript	etag:%22cf-20854-gzip%22	https://www.epfl.ch/js/jquery-epfl.min.js	C:/Users/j-wu1/Downloads/test4web/www.epfl.ch/js/jquery-epfl.min.js	(from http://biorob2.epfl.ch/pages/projects/)
21:07:43	23818/23818	---M-Z	200	added ('OK')	application/javascript	etag:%227c0c-5d0a-gzip%22	https://www.epfl.ch/js/globalnav.js	C:/Users/j-wu1/Downloads/test4web/www.epfl.ch/js/globalnav.js	(from http://biorob2.epfl.ch/pages/projects/)
21:07:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2017%20Aug%202021%2019:07:43%20GMT	http://www.epfl.ch/img/epfl_small.png	C:/Users/j-wu1/Downloads/test4web/www.epfl.ch/img/epfl_small.png	(from http://biorob2.epfl.ch/pages/projects/)
21:07:45	817/817	---M--	200	added ('OK')	image/png	etag:%22a2-331%22	https://www.epfl.ch/img/epfl_small.png	C:/Users/j-wu1/Downloads/test4web/www.epfl.ch/img/epfl_small.png	(from http://biorob2.epfl.ch/pages/projects/)
21:07:45	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-56f7a37896e00-gzip%22	http://biorob2.epfl.ch/css/font-awesome.min.css	C:/Users/j-wu1/Downloads/test4web/biorob2.epfl.ch/css/font-awesome.min.css	(from http://biorob2.epfl.ch/pages/projects/)
21:07:45	20460/20460	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Aug%202021%2019:07:45%20GMT	http://biorob2.epfl.ch/pages/projects/index.php?keyword=16	C:/Users/j-wu1/Downloads/test4web/biorob2.epfl.ch/pages/projects/index0f58.html	(from http://biorob2.epfl.ch/pages/projects/)
21:07:46	20465/20465	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Aug%202021%2019:07:46%20GMT	http://biorob2.epfl.ch/pages/projects/index.php?keyword=29	C:/Users/j-wu1/Downloads/test4web/biorob2.epfl.ch/pages/projects/index35bc.html	(from http://biorob2.epfl.ch/pages/projects/)
21:07:46	24690/24690	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Aug%202021%2019:07:46%20GMT	http://biorob2.epfl.ch/pages/projects/index.php?keyword=45	C:/Users/j-wu1/Downloads/test4web/biorob2.epfl.ch/pages/projects/index654e.html	(from http://biorob2.epfl.ch/pages/projects/)
21:07:46	20473/20473	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Aug%202021%2019:07:46%20GMT	http://biorob2.epfl.ch/pages/projects/index.php?keyword=42	C:/Users/j-wu1/Downloads/test4web/biorob2.epfl.ch/pages/projects/index453e.html	(from http://biorob2.epfl.ch/pages/projects/)
21:07:46	34263/34263	---M-Z	200	added ('OK')	text/html	date:Tue,%2017%20Aug%202021%2019:07:46%20GMT	http://biorob2.epfl.ch/pages/projects/index.php?keyword=8	C:/Users/j-wu1/Downloads/test4web/biorob2.epfl.ch/pages/projects/indexa554.html	(from http://biorob2.epfl.ch/pages/projects/)
